                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.71425,                0.54337,                0.95318,                0.88127,                      1,                  0.945,                0.79325,                0.63655,                0.45022,                0.91663,               0.004555,               0.004555,               0.004555
                     57,                0.68772,                0.55631,                0.97482,                0.96992,                      1,                  0.995,                0.84499,                0.67491,                0.43426,                0.90804,               0.004456,               0.004456,               0.004456
                     58,                 0.6862,                0.50196,                0.98633,                0.96841,                      1,                  0.995,                0.79266,                0.70268,                0.40778,                 0.9193,               0.004357,               0.004357,               0.004357
                     59,                0.68245,                0.47482,                0.96686,                 0.9773,                      1,                  0.995,                0.79437,                0.70183,                0.48061,                0.93297,               0.004258,               0.004258,               0.004258
                     60,                 0.7217,                0.51879,                0.99752,                0.98226,                      1,                  0.995,                0.77435,                0.71143,                0.44649,                0.91248,               0.004159,               0.004159,               0.004159
                     61,                0.65361,                0.45019,                0.96005,                0.98305,                      1,                  0.995,                 0.7592,                0.75795,                0.43942,                0.92909,                0.00406,                0.00406,                0.00406
                     62,                0.72339,                 0.4812,                 0.9856,                0.98221,                      1,                  0.995,                 0.8167,                0.68201,                0.41768,                0.89923,               0.003961,               0.003961,               0.003961
                     63,                0.72348,                0.50426,                0.97676,                0.98457,                      1,                  0.995,                0.78682,                0.72956,                0.42352,                0.91339,               0.003862,               0.003862,               0.003862
                     64,                0.67863,                0.50223,                0.95068,                0.98105,                      1,                  0.995,                0.78848,                0.71031,                0.40516,                0.92509,               0.003763,               0.003763,               0.003763
                     65,                0.59725,                0.45266,                0.96853,                0.98183,                      1,                  0.995,                 0.7882,                0.68893,                0.42012,                0.95069,               0.003664,               0.003664,               0.003664
                     66,                0.69699,                0.56266,                0.97456,                 0.9758,                      1,                  0.995,                0.80412,                0.71122,                0.47754,                0.98714,               0.003565,               0.003565,               0.003565
                     67,                0.63274,                0.44727,                0.94178,                0.96756,                      1,                  0.995,                0.80692,                0.75753,                0.39856,                 1.0056,               0.003466,               0.003466,               0.003466
                     68,                0.62401,                0.46357,                0.90332,                0.95973,                  0.875,                   0.97,                0.78097,                0.76872,                0.44161,                 1.0356,               0.003367,               0.003367,               0.003367
                     69,                0.73197,                0.52599,                0.96876,                0.95469,                      1,                  0.995,                0.79915,                0.77109,                0.39604,                 1.0604,               0.003268,               0.003268,               0.003268
                     70,                0.68421,                0.50351,                0.94387,                0.97431,                      1,                  0.995,                0.77581,                0.78905,                0.39648,                 1.0687,               0.003169,               0.003169,               0.003169
                     71,                  0.641,                0.47507,                0.91835,                0.95687,                0.99959,                  0.995,                0.76394,                0.75043,                0.37282,                 1.0402,                0.00307,                0.00307,                0.00307
                     72,                0.62825,                0.43953,                0.94636,                 0.9585,                0.99589,                  0.995,                0.78347,                0.70319,                0.34013,                 1.0126,               0.002971,               0.002971,               0.002971
