                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.93557,                 1.2306,                 1.2154,                0.96721,                    0.5,                0.60042,                0.29213,                 2.0134,                 2.0832,                 2.8376,                0.00208,                0.00208,                0.00208
                     82,                0.86872,                  1.075,                 1.2277,                 0.9548,                    0.5,                0.61157,                0.29197,                 2.0315,                 2.0026,                 2.8752,               0.001981,               0.001981,               0.001981
                     83,                0.92562,                 1.1343,                 1.2582,                0.94484,                    0.5,                0.60744,                0.29856,                 2.0187,                 1.9543,                 2.8552,               0.001882,               0.001882,               0.001882
                     84,                0.91726,                 1.1165,                 1.2075,                0.94497,                    0.5,                0.60769,                0.30371,                 2.0178,                 1.8813,                 2.9427,               0.001783,               0.001783,               0.001783
                     85,                 0.8353,                 1.1725,                 1.2161,                0.96158,                    0.5,                0.59082,                0.28851,                 2.0885,                 1.8003,                 3.3048,               0.001684,               0.001684,               0.001684
                     86,                0.85559,                 1.0627,                 1.1982,                0.96214,                    0.5,                0.59325,                0.27829,                 2.1047,                   1.79,                 3.3803,               0.001585,               0.001585,               0.001585
                     87,                0.86339,                 1.1832,                 1.2125,                0.96355,                    0.5,                 0.5538,                0.26331,                 2.1156,                  2.053,                 3.2705,               0.001486,               0.001486,               0.001486
                     88,                0.93958,                 1.2214,                 1.2862,                0.97816,                    0.5,                 0.5642,                0.25888,                 2.1918,                 2.0685,                 3.2827,               0.001387,               0.001387,               0.001387
                     89,                0.92154,                 1.1565,                 1.2703,                0.98038,                    0.5,                0.56848,                0.27128,                 2.1121,                 2.1133,                 3.0548,               0.001288,               0.001288,               0.001288
                     90,                0.93636,                 1.2229,                 1.2517,                0.98553,                    0.5,                0.59845,                0.27319,                 2.1252,                 2.0284,                 2.9315,               0.001189,               0.001189,               0.001189
                     91,                0.82072,                0.96136,                 1.1708,                0.98843,                    0.5,                0.58875,                0.23675,                 2.0881,                 2.0772,                 2.8635,                0.00109,                0.00109,                0.00109
                     92,                0.91229,                 1.0241,                 1.2002,                      1,                0.49696,                0.61038,                0.27074,                 2.0373,                 2.0972,                  2.881,               0.000991,               0.000991,               0.000991
                     93,                0.82204,                 1.0034,                 1.1525,                      1,                0.49491,                0.61556,                0.25337,                 2.0286,                 2.0865,                 2.8882,               0.000892,               0.000892,               0.000892
                     94,                0.91446,                 1.1113,                 1.2293,                      1,                0.49311,                0.64071,                0.26782,                 2.0443,                 2.0532,                 2.8478,               0.000793,               0.000793,               0.000793
                     95,                0.77526,                 1.0128,                  1.141,                      1,                0.49762,                0.64071,                0.26284,                  2.053,                 2.0034,                 2.8258,               0.000694,               0.000694,               0.000694
                     96,                 0.9027,                 1.0969,                  1.239,                      1,                0.49416,                0.63786,                 0.2556,                 2.0638,                  1.986,                 2.8377,               0.000595,               0.000595,               0.000595
                     97,                0.82119,                 1.1181,                 1.1854,                      1,                0.49008,                0.66167,                0.29611,                 2.0414,                  1.946,                 2.7803,               0.000496,               0.000496,               0.000496
                     98,                0.80786,                 1.0713,                 1.1907,                      1,                0.49686,                0.65289,                0.26826,                 2.0313,                 1.9815,                 2.7656,               0.000397,               0.000397,               0.000397
                     99,                0.85595,                  1.091,                 1.1775,                0.99431,                    0.5,                0.65051,                0.29578,                 2.0227,                 1.9363,                 2.8567,               0.000298,               0.000298,               0.000298
